"iso3","country","year","agricultural_land_pct","forest_area_pct","population","urban_population_pct","fertilizer_kg_ha","livestock_index","cereal_yield","ghg_emissions"
"THA","Thailand",2015,44.7180410655914,39.2667697547417,70540795,46.9521043776171,135.252101834005,99.64,2958.7,401.3825
"THA","Thailand",2016,44.7102115915363,39.1806455401358,70859841,47.8801095551247,146.941193905981,98.74,3064.5,401.0899
"THA","Thailand",2017,44.7199984341052,39.1101802736401,71160187,49.2311973571777,166.988314035684,99.68,3172.3,406.6368
"THA","Thailand",2018,44.7174470042475,39.0397150071444,71376079,54.5843734741211,138.496115476872,98.86,3151.7,402.1173
"THA","Thailand",2019,45.019475816712,38.9692497406487,71522271,55.9266166687012,113.527214570566,101.49,3021.6,410.4601
"THA","Thailand",2020,45.5516837283955,38.8987844741529,71641484,57.2358779907227,136.490349327558,101.28,3014.1,403.9095
"THA","Thailand",2021,45.9981600735971,38.8283192076572,71727332,58.5087776184082,147.621182923214,102.75,3062,398.6981
"THA","Thailand",2022,45.9981600735971,38.7578539411615,71735329,59.742374420166,227.527581008371,103.25,3105.6,417.7712
"VNM","Vietnam",2003,30.7575708710936,39.5565130454414,79563777,26.1745407830283,332.929190092691,52.63,4506.7,191.0392
"VNM","Vietnam",2004,31.5915760957203,40.0738026897152,80338971,26.8021001307977,367.814514259216,54.76,4690.9,213.4154
